customer_id,email,first_name,last_name,country,signup_ts,is_active
c00001,qing.gomez0001@example.com,Qing,Gomez,CA,2025-05-10T13:32:57,false
c00002,gus.bishop0002@example.com,Gus,Bishop,BR,2025-03-17T14:37:58,false
c00003,marcos.doan0003@example.com,Marcos,Doan,US,2025-04-18T11:13:48,true
c00004,wen.tran0004@example.com,Wen,Tran,AU,2025-11-15T06:30:16,true
c00005,gus.cole0005@example.com,Gus,Cole,VN,2025-12-28T08:26:47,true
c00006,uma.park0006@example.com,Uma,Park,US,2025-11-25T15:16:09,true
c00007,zane.xu0007@example.com,Zane,Xu,US,2025-05-24T22:59:37,true
c00008,dana.nguyen0008@example.com,Dana,Nguyen,US,2026-04-21T21:04:07,true
c00009,zane.kapoor0009@example.com,Zane,Kapoor,US,2025-07-20T02:23:34,true
c00010,chen.liu0010@example.com,Chen,Liu,US,2025-12-18T16:21:36,true
c00011,qing.bishop0011@example.com,Qing,Bishop,GB,2025-04-07T09:42:45,true
c00012,kai.tran0012@example.com,Kai,Tran,DE,2025-10-20T22:05:09,true
c00013,yara.nguyen0013@example.com,Yara,Nguyen,ES,2025-07-30T06:25:58,true
c00014,uma.wang0014@example.com,Uma,Wang,DE,2025-08-10T15:26:55,false
c00015,lina.bishop0015@example.com,Lina,Bishop,US,2025-12-22T19:14:03,true
c00016,oluwa.faroukh0016@example.com,Oluwa,Faroukh,US,2025-06-12T10:31:53,true
c00017,oluwa.liu0017@example.com,Oluwa,Liu,VN,2026-03-08T23:02:34,true
c00018,huy.ueda0018@example.com,Huy,Ueda,US,2026-04-10T02:44:42,true
c00019,bao.hsu0019@example.com,Bao,Hsu,DE,2025-11-02T06:38:21,true
c00020,yara.tran0020@example.com,Yara,Tran,GB,2026-04-11T17:03:16,false
c00021,elena.saito0021@example.com,Elena,Saito,US,2025-11-29T01:58:11,true
c00022,marcos.ortiz0022@example.com,Marcos,Ortiz,GB,2025-08-18T21:41:27,true
c00023,tara.ito0023@example.com,Tara,Ito,US,2025-10-05T01:21:17,true
